#,status,current_title,recommended_title,old_slug,recommended_slug,slug_action,category,seo_focus_keyword,permalink_path,thumbnail_template,thumbnail_title,visual_motif,micro_labels
1,publish,The Apostasy Hadith: The Case Against Ikrima,Apostasy Hadith and Ikrima: A Transmission-Critical Case,the-apostasy-hadith-the-case-against-ikrima,apostasy-hadith-ikrima-transmission-critique,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Apostasy Hadith and Ikrima,/apostasy-hadith-ikrima-transmission-critique/,isnad-forensics,THE APOSTASY  THE CASE AGAINST IKRIMA,"A severed legal verdict stamp over a single narrator-node labeled IKRIMA, with a broken chain descending from Ibn ʿAbbās.",apostasy; Ikrima; common-link; legal hadith
2,publish,The Descension of Jesus in The End of Times - Umayyad Propaganda,Descension of Jesus Hadith and Umayyad Propaganda,experiencing-tokyo-like-a-local,descension-jesus-hadith-umayyad-propaganda,Replace irrelevant/encoded slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Descension of Jesus Hadith and Umayyad Propaganda,/descension-jesus-hadith-umayyad-propaganda/,prophecy-dossier,THE DESCENSION OF JESUS IN THE END OF TIMES,A Umayyad coin silhouette beside a descending-arrow prophecy diagram; “RETURN” appears as a redacted dossier stamp.,Jesus return; Umayyad propaganda; eschatology
3,publish,The Zubayrid Mahdi - The Zubayrid Retaliation Against the Umayyads!,Zubayrid Mahdi: Anti-Umayyad Prophecy and Political Retaliation,the-mahdi-the-tale-behind-the-zubayrid-retaliation-against-the-umayyads,zubayrid-mahdi-anti-umayyad-prophecy-political-retaliation,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Zubayrid Mahdi,/zubayrid-mahdi-anti-umayyad-prophecy-political-retaliation/,prophecy-dossier,THE ZUBAYRID MAHDI,"Two rival banners facing each other over a Hijaz map grid, with “MAHDI CLAIM” stamped across the center.",Zubayrid Mahdi; Umayyads; political prophecy
4,publish,The Dajjal - An Apocryphal Creation,The Dajjal Hadith: An Apocryphal Creation,exploring-the-cuisine-of-marrakech,dajjal-hadith-apocryphal-creation,Replace irrelevant/encoded slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",The Dajjal Hadith,/dajjal-hadith-apocryphal-creation/,prophecy-dossier,THE DAJJAL - AN APOCRYPHAL CREATION,"An apocrypha file card with a distorted eye-symbol reduced to a forensic evidence icon, not horror imagery.",Dajjal; apocrypha; eschatology
5,publish,Fabricated Hadith Prophecy: Bedouins Building Tall Buildings,Bedouins Building Tall Buildings: A Fabricated Hadith Prophecy,debunking-the-hadith-prophecy-of-bedouins-building-tall-buildings,bedouins-building-tall-buildings-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Bedouins Building Tall Buildings,/bedouins-building-tall-buildings-fabricated-prophecy/,prophecy-dossier,BEDOUINS BUILDING TALL BUILDINGS,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",bedouins; tall buildings; prophecy
6,publish,Angel Gabriel - 600 Wings?,"Angel Gabriel’s 600 Wings: Hadith, Symbolism, and Contradiction",angel-gabriel-600-wings-or-1-4-wings,angel-gabriels-600-wings-hadith-symbolism-contradiction,Update title/slug + 301 redirect,Quranic Theology & Tafsir,Angel Gabriel’s 600 Wings,/angel-gabriels-600-wings-hadith-symbolism-contradiction/,quranic-criterion,ANGEL GABRIEL - 600 WINGS?,An angelic wing count grid rendered as abstract feather marks and a “600?” evidence tag.,Gabriel; angelology; hadith imagery
7,publish,How Long Did The Prophet Stay In Mecca?,How Long Did the Prophet Stay in Mecca? Conflicting Reports,how-long-did-the-prophet-stay-in-mecca,how-long-did-prophet-stay-mecca-conflicting-reports,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,How Long Did the Prophet Stay,/how-long-did-prophet-stay-mecca-conflicting-reports/,prophecy-dossier,HOW LONG DID THE PROPHET STAY IN MECCA?,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Mecca chronology; hadith contradiction
8,publish,Divine Inspirations: An Analytical Comparison of Caedmon’s and Muhammad’s Revelations,Caedmon and Muhammad: A Comparative Study of Revelation,divine-inspirations-an-analytical-comparison-of-caedmons-and-muhammads-revelations,caedmon-muhammad-comparison-revelation,Shorten slug + 301 redirect,Comparative Religion & Biblical Studies,Caedmon and Muhammad,/caedmon-muhammad-comparison-revelation/,comparative-manuscripts,DIVINE INSPIRATIONS,Facing manuscript pages with cross-reference threads and small marginal “source” tags.,Caedmon; Muhammad; revelation comparison
9,publish,The Satanic Verses Incident,Satanic Verses Incident: A Transmission-Critical Study,the-satanic-verses-incident,satanic-verses-incident-transmission-critical-study,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Satanic Verses Incident,/satanic-verses-incident-transmission-critical-study/,isnad-forensics,THE SATANIC VERSES INCIDENT,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,Satanic Verses; transmission history
10,publish,Muhammad Did Not Split The Moon.,Did Muhammad Split the Moon? A Quranic and Historical Critique,muhammad-did-not-split-the-moon,did-muhammad-split-moon-quran-history-critique,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Muhammad Split the Moon? A Quranic,/did-muhammad-split-moon-quran-history-critique/,prophecy-dossier,MUHAMMAD DID NOT SPLIT THE MOON.,A lunar disk crossed by measurement lines and a skeptical “NO EXTERNAL ATTESTATION” stamp.,moon split; miracle claim
11,publish,The Hadith of the Drought - Al-Albani Refutation,Hadith of the Drought: A Refutation of al-Albani,the-hadith-of-the-drought-al-albani-foundation-refutation,hadith-drought-refutation-al-albani,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Hadith of the Drought,/hadith-drought-refutation-al-albani/,isnad-forensics,THE HADITH OF THE DROUGHT - AL-ALBANI REFUTATION,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,drought hadith; Albani refutation
12,publish,The Hadith of Angels Cursing Women Who Don't Sleep With Their Husbands,Angels Cursing Women Hadith: A Quranic Critique,the-hadith-of-angels-cursing-women-who-dont-sleep-with-their-husbands,angels-cursing-women-hadith-quranic-critique,Update title/slug + 301 redirect,Ritual Practice & Legal Reform,Angels Cursing Women Hadith,/angels-cursing-women-hadith-quranic-critique/,quranic-criterion,THE HADITH OF ANGELS CURSING WOMEN WHO DON'T SLEEP WI…,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",marital sex; women; legal hadith
13,publish,Imam Ahmad Supplicated Through Dead People,Did Imam Ahmad Supplicate Through the Dead?,imam-ahmad-supplicates-through-dead-people,did-imam-ahmad-supplicate-through-dead,Update title/slug + 301 redirect,Quranic Theology & Tafsir,Imam Ahmad Supplicate Through the Dead,/did-imam-ahmad-supplicate-through-dead/,quranic-criterion,IMAM AHMAD SUPPLICATED THROUGH DEAD PEOPLE,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",intercession; supplication; tawassul
14,publish,The Salafi Paradox,"The Salafi Paradox: Authority, Literalism, and Contradiction",the-salafi-paradox,salafi-paradox-authority-literalism-contradiction,Update title/slug + 301 redirect,Philosophy & Epistemology,The Salafi Paradox,/salafi-paradox-authority-literalism-contradiction/,logic-lab,THE SALAFI PARADOX,"A clean argument diagram: premises, inference arrows, contradiction marker, and verification seal.",Salafi paradox; self-referential critique
15,publish,The Hasanid Mahdi - A Mahdi Fabricated by Asim (Teacher of Quran Reciter Hafs),"Hasanid Mahdi Hadith: ʿĀṣim, Ḥafṣ, and Fabricated Prophecy",the-hasanid-mahdi-a-mahdi-fabricated-by-asim-teacher-of-quran-reciter-hafs,hasanid-mahdi-asim-hafs-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Hasanid Mahdi Hadith,/hasanid-mahdi-asim-hafs-fabricated-prophecy/,prophecy-dossier,THE HASANID MAHDI,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Hasanid Mahdi; Asim; prophecy fabrication
16,publish,The Kaysanite Mahdi - The Obscure 3rd Son of Ali,Kaysanite Mahdi: Muhammad ibn al-Hanafiyyah and Early Messianism,the-kaysanite-mahdi-the-obscure-3rd-son-of-ali,kaysanite-mahdi-muhammad-ibn-al-hanafiyyah-early-messianism,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Kaysanite Mahdi,/kaysanite-mahdi-muhammad-ibn-al-hanafiyyah-early-messianism/,prophecy-dossier,THE KAYSANITE MAHDI - THE OBSCURE 3RD SON OF ALI,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Kaysanite Mahdi; Ibn al-Hanafiyyah; sectarian prophecy
17,publish,The Corruption of Prayer Within The Hadith,The Corruption of Prayer in the Hadith Corpus,the-corruption-of-prayer-within-the-hadith,corruption-prayer-hadith-corpus,Update title/slug + 301 redirect,Ritual Practice & Legal Reform,The Corruption of Prayer in the Hadith Corpus,/corruption-prayer-hadith-corpus/,ritual-diagram,THE CORRUPTION OF PRAYER WITHIN THE HADITH,Minimal standing-bowing-prostration geometry shown as gold line icons on a black grid.,prayer; salat; hadith corruption
18,publish,ʿIlm al-Rijāl (علم الرجال) - A Case Study Of This Flawed Science,ʿIlm al-Rijāl: A Case Study in Hadith Science,%ca%bfilm-al-rijal-%d8%b9%d9%84%d9%85-%d8%a7%d9%84%d8%b1%d8%ac%d8%a7%d9%84-a-case-study-of-this-flawed-science,ilm-al-rijal-case-study-hadith-science,Replace irrelevant/encoded slug + 301 redirect,Hadith Transmission & Rijāl Criticism,ʿIlm al-Rijāl,/ilm-al-rijal-case-study-hadith-science/,isnad-forensics,ʿILM AL-RIJĀL (علم الرجال),A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,ʿilm al-rijal; flawed science; case study
19,publish,Hadith Scholars Fulfilling Their Desires in Hadith,Desire and Hadith Fabrication Among Scholars,hadith-scholars-fulfilling-their-desires-in-hadith,desire-hadith-fabrication-among-scholars,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Desire and Hadith Fabrication Among Scholars,/desire-hadith-fabrication-among-scholars/,isnad-forensics,HADITH SCHOLARS FULFILLING THEIR DESIRES IN HADITH,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,desires; fabrication motive; hadith scholars
20,publish,Exposing the False Use of 'Ummiyeen' in Hadith,“Ummiyyīn” in the Quran: Refuting a Hadith-Based Reading,exposing-the-false-use-of-ummiyeen-in-hadith,ummiyyin-quran-hadith-reading-refuted,Update title/slug + 301 redirect,Quranic Theology & Tafsir,“Ummiyyīn” in the Quran,/ummiyyin-quran-hadith-reading-refuted/,quranic-criterion,EXPOSING THE FALSE USE OF 'UMMIYEEN' IN HADITH,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",ummiyyin; Quranic term; hadith misuse
21,publish,Hadith: The Prophet Was Bewitched By A Jew ... ?,Was the Prophet Bewitched by a Jew? A Hadith Critique,hadith-the-prophet-was-bewitched-by-a-jew,prophet-bewitched-jew-critique,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Was the Prophet Bewitched by a Jew? A Hadith Critique,/prophet-bewitched-jew-critique/,prophecy-dossier,THE PROPHET WAS BEWITCHED BY A JEW ... ?,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",bewitched Prophet; Jewish story; hadith
22,publish,The Abbasid Mahdi - The Black Banners & Abu Abbas Al-Saffah,"Abbasid Mahdi: Black Banners, al-Saffah, and Political Prophecy",the-abbasid-mahdi-the-black-banners-abu-abbas-al-saffah,abbasid-mahdi-black-banners-al-saffah-political-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Abbasid Mahdi,/abbasid-mahdi-black-banners-al-saffah-political-prophecy/,prophecy-dossier,THE ABBASID MAHDI,Black banner shapes rising from a chronology strip labeled Abbasid revolution.,Abbasid Mahdi; black banners; al-Saffah
23,publish,Battle of The Isnads: Judaism vs. Christianity vs. Islam,"Battle of the Isnads: Judaism, Christianity, and Islam",battle-of-the-isnads-judaism-vs-christianity-vs-islam,battle-isnads-judaism-christianity-islam,Update title/slug + 301 redirect,Comparative Religion & Biblical Studies,Battle of the Isnads,/battle-isnads-judaism-christianity-islam/,isnad-forensics,BATTLE OF THE ISNADS: JUDAISM VS. CHRISTIANITY VS. ISLAM,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,Judaism; Christianity; Islam; isnads
24,publish,Fabricated Hadith Prophecy: The Fire From Hijaz & The Eruption of 641 AD,Fire from Hijaz Hadith: The 641 AH Eruption and Prophecy,fabricated-hadith-prophecy-the-fire-from-hijaz-the-eruption-of-641-ad,fire-hijaz-hadith-641-ah-eruption-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Fire from Hijaz Hadith,/fire-hijaz-hadith-641-ah-eruption-prophecy/,prophecy-dossier,THE FIRE FROM HIJAZ & THE ERUPTION OF 641 AD,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Hijaz fire; eruption; prophecy
25,publish,Imām Abū Hanīfa - False Attributions,Imam Abu Hanifa and False Attributions,imam-abu-hanifa-false-attributions,imam-abu-hanifa-false-attributions,Keep slug,Hadith Transmission & Rijāl Criticism,Imam Abu Hanifa and False Attributions,/imam-abu-hanifa-false-attributions/,isnad-forensics,IMĀM ABŪ HANĪFA - FALSE ATTRIBUTIONS,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,Abu Hanifa; false attribution
